target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div
libxml2,3939,/src/libxml2/parser.c,parser.c:xmlParseTryOrFinish,11831,7,F,		if (term == NULL) {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":1.6,""hit_div"":4.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":4.3,""hit_div"":4.4}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,10,0,0,1.0,4.3,4.8
libxml2,2203,/src/libxml2/dict.c,xmlDictQLookup,1167,9,T,    if ((nbi > MAX_HASH_LEN) &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":4.9,""hit_div"":17.3},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":3.6,""hit_div"":3.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",10,0,0,1,9,0,8,2,0,2,8,0,0.9,4.9,17.3
libxml2,2596,/src/libxml2/parser.c,xmlParsePEReference,8015,9,F,    if (RAW != ';') {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":3.95,""hit_div"":3.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":1.18,""hit_div"":3.3}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,0,9,1,9,1,0,0.9,3.95,3.3
libxml2,3536,/src/libxml2/parser.c,xmlParseCharRef,2352,9,F,	while (RAW != ';') { /* loop blocked by count */,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":3.15,""hit_div"":2.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":2.45,""hit_div"":1.7}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,9,1,0,0.9,3.15,2.8
libxml2,3542,/src/libxml2/parser.c,xmlParseCharRef,2372,6,T,	if (RAW == ';') {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":3.15,""hit_div"":2.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":2.45,""hit_div"":1.7}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,9,1,0,0.9,3.15,2.8
libxml2,4373,/src/libxml2/xmlreader.c,xmlTextReaderRead,1488,9,T,	       (reader->node->type == XML_ENTITY_REF_NODE) &&,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":5.35,""hit_div"":3.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":4.7,""hit_div"":3.0}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,1,9,0,8,2,0,0.8,5.35,3.1
libxml2,5107,/src/libxml2/parser.c,xmlParseCDSect,9937,9,F,    if (cur != '>') {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":1.3,""hit_div"":2.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":2.5,""hit_div"":2.1}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",,,,0,10,0,0,10,0,8,2,0,0.8,2.5,2.1
libxml2,2655,/src/libxml2/parser.c,xmlParseCDSect,9902,13,F,           ((r != ']') || (s != ']') || (cur != '>'))) {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":0.65,""hit_div"":3.3},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":1.3,""hit_div"":2.1}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,2,8,0,2,8,0,9,1,0,0.7,1.3,3.3
libxml2,3210,/src/libxml2/xmlsave.c,xmlsave.c:xmlNodeDumpOutputInternal,1050,21,T,                if ((cur->ns != NULL) && (cur->ns->prefix != NULL)) {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":4.0,""hit_div"":1.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":3.25,""hit_div"":1.0}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,2,8,0,2,8,0,9,1,0,0.7,4.0,1.1
libxml2,2274,/src/libxml2/entities.c,xmlGetPredefinedEntity,313,9,T,        case 'q':,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":3.15,""hit_div"":22.5}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,2,8,0,7,3,0,1.0,3.15,22.5
libxml2,2686,/src/libxml2/parser.c,parser.c:xmlParseLookupInternalSubset,11261,18,T,        else if (state == ']') {,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":1.0,""dur_div"":5.21,""hit_div"":12.4}]","[""naive"", ""value_profile""]",0,8,2,2,8,0,10,0,0,7,3,0,1.0,5.21,12.4
