id,feature name,original_label,winner fuzzers,loser fuzzers,desc,delta_tech,direction,branch count,feature family,duplicates,final
1,fast_starves_deep_seeds_on_busy_paths,aflfast_nfuzz_damping_starves_deep_path,minimizer,fast,"FAST schedule tries to be efficient by spending less mutation effort on code paths it sees hit over and over, assuming they're already well-explored. The problem is that a ""frequently hit"" path can still hide a hard, deep branch that needs lots of cumulative mutation to crack, so FAST throttles the seed's budget right when it still has real work to do, and the branch never gets resolved. The minimizer schedule doesn't tie effort to visit frequency, so it keeps feeding that seed steadily until the branch falls. The hypothesis is simply that this one difference, whether energy gets damped by visit frequency, is what makes FAST and the minimizer diverge on deeply-structured targets.",PowerSchedule=fast,anti,2,aflfast_rarity_anti,,y
2,fast_boosts_rare_path_seeds,aflfast_rare_edge_havoc_boost,fast,minimizer,"when a seed sits in front of a structural gate, something like if (ptr != NULL) or a ""this field must be present"" check that needs a lucky combination of mutations to satisfy, FAST notices the seed lives in a rarely-hit coverage bucket (low n_fuzz) and rewards it with a bigger perf_score, i.e. more havoc mutation attempts (the object pegs this at up to 4×). More swings means a better chance of stumbling onto the bytes that open the gate, reach the crash, and fire the trap. The minimizer sizes energy only from calibration signals (exec time, bitmap size) with no rarity term, so it gets a flat, smaller budget, never accumulates enough attempts, and stalls at the gate. Hence expected_direction: fast > minimizer.",PowerSchedule=fast,pro,2,aflfast_rarity_pro,,y
3,calibration_wins_rare_value_lottery,calibrated_energy_rare_value_targeting,minimizer,naive,"Naive uses flat scheduling; every seed gets the same havoc budget regardless of how well-behaved it is. The minimizer (via CalibrationStage-derived perf_score) instead concentrates extra havoc attempts on fast, stable, promising seeds. The gate here is a pure lottery: it tests an explicit constant or bitmask, so the only way through is for mutation to randomly insert that exact value — a specific byte, a multi-byte codepoint, a named flag bit. More havoc attempts mean more random draws, which raises the probability of landing the value inside the campaign budget. Flat scheduling spreads its draws too thin, and the rare value never comes up in time. Hence, minimizer > naive. ",Calibration = on,pro,4,calibrated_energy_pro,,y
4,calibration_builds_deep_structure,calibrated_energy_structural_assembly,minimizer,naive,"This one (structural_assembly) is the cumulative case: the gate isn't a single lucky byte, it's a deep, structurally-valid input, a multi-field format, a long expression, a chained parse path that has to be built up across many mutations. Calibration helps by concentrating havoc on the small, fast, stable seeds that are the most productive scaffolding to extend, so the campaign actually assembles that complexity before the budget runs out. Naive's flat scheduling spreads effort evenly and rarely climbs to the required depth in time.",Calibration = on,pro,9,calibrated_energy_pro,,y
5,ctx_coverage_reveals_the_rare_branch,ctx_allocation_failure_path,naive_ctx,naive,"When the fuzzer records each function together with the call path that led to it, the failure version of the allocation suddenly looks like a brand-new place worth exploring, rather than the same old line. That reward nudges the fuzzer to build inputs that actually stress memory until the allocator gives up and returns nothing — pushing the program down the failure branch where the bug hides. A plain fuzzer never gets that nudge and just keeps coasting on the path where everything works.",Feedback mechanism = ctx_coverage,pro,2,ctx_coverage_pro,,y
6,ctx_coverage_retains_stepping_stones,ctx_deep_chain_stepping_stone_retention,naive_ctx,naive,"The blocker sits at the far end of a long chain of function calls. You have to get through step 1, then 2, then 3, and so on, before the bug at the end is reachable. The problem for a plain fuzzer is stepping stones. To build an input that reaches step 5, you first want to keep around the inputs that got you partway, to step 2 and step 3, and extend them. But a plain coverage map saturates fast: once the bare edges along the chain have each been hit once, those intermediate seeds no longer look novel, so the fuzzer stops valuing them and discards them. It loses the scaffolding it needed to climb.",Feedback mechanism = ctx_coverage,pro,14,ctx_coverage_pro,"13, 15",y
7,ctx_coverage_dilutes_exact_value_signal,ctx_exact_literal_signal_dilution,naive,naive_ctx,"An exact-value gate is a lottery; you win only by mutation, randomly inserting one specific value. What you want from a coverage map is a clear, concentrated signal: ""this seed got closer / is worth keeping and mutating toward the value."" Context-sensitive coverage shatters that signal. Because it counts coverage per call-context, the reward that should accrue to ""we're near the gate"" gets split across many (context, edge) slots. The corpus fills up with seeds that are novel by context but identical in the way that matters; none of them carries the needed literal, yet each looks like fresh coverage worth saving. The real signal, land this byte, is diluted across bookkeeping noise. Plain coverage, with its single undifferentiated slot, keeps the signal concentrated and stumbles onto the value sooner. ",Feedback mechanism = ctx_coverage,anti,2,ctx_coverage_anti,,y
8,ctx_coverage_retains_valid_scaffolds,ctx_havoc_byte_mutation_corpus_scaffolding,naive_ctx,naive,"Blocker is reached by flipping one specific byte to one specific value, but that byte only matters if the rest of the input is already a valid shape (a well-formed file header, a parseable record, that kind of thing). So what you really want is a big stash of inputs that are already valid, sitting one byte away from the goal, so the fuzzer gets many chances to flip that last byte correctly.
A plain fuzzer is stingy about keeping those valid inputs. Once it has seen the code that parses a valid header, it considers that ground ""covered"" and stops saving new valid examples, it throws away the very platforms you'd want to launch from. The fuzzer that tracks who called each function sees each of those valid inputs as arriving through a slightly different route, so it counts them as fresh and holds onto many of them. That gives its random byte-mutations far more valid starting points to work from, and one of them eventually lands the magic byte and triggers the crash.",Feedback mechanism = ctx_coverage,pro,6,ctx_coverage_pro,14,y
9,ctx_coverage_rolls_the_gate_over_loops,ctx_indic_reordering_syllable_iteration,naive_ctx,naive,"The blocker only gets unblocked when a rare condition is met, and the program checks for that condition once for every chunk of the input, here, once per syllable of text, but it could be any per-item loop. So an input with many chunks gets the program to roll the dice on that rare condition many times in a single run.
A plain fuzzer doesn't notice those repeated checks, to it, the loop is just the same code running again, already ""covered,"" so it gets no encouragement to feed in inputs with lots of chunks. ",Feedback mechanism = ctx_coverage,pro,2,ctx_coverage_pro,,y
10,ctx_coverage_loop_edge_explosion,ctx_loop_edge_explosion,naive,naive_ctx,"The loop is not where the objective lives. The gate is a downstream exit-or-continuation condition, somewhere after, or beyond, the loop. The loop is just a high-call-count body sitting in the path, and context coverage faithfully logs a flood of novel (context, edge) pairs for every iteration. But none of those slots is a trial of the gate. They're novel by bookkeeping and irrelevant to the win. So the fuzzer pours budget into saving and mutating context-redundant corpus entries generated by loop iteration, while the byte-level exploration that would actually satisfy the downstream condition gets starved. Plain coverage, blind to per-context novelty, doesn't get seduced by the loop, it collapses all those iterations together and keeps its budget pointed at the real gate.",Feedback mechanism = ctx_coverage,anti,2,ctx_coverage_pro,,y
