target,fuzzer,category,n_resolved,n_branches,rate
bloaty,aflplusplus,i2s_numeric_tag_substitution,6,8,0.7500
bloaty,aflplusplus,i2s_string_literal_substitution,2,3,0.6667
bloaty,aflplusplus,i2s_structural_assembly_reach_depth,2,2,1.0000
bloaty,aflplusplus,vp_gradient_value_distance_closure,0,2,0.0000
bloaty,honggfuzz,i2s_numeric_tag_substitution,5,8,0.6250
bloaty,honggfuzz,i2s_string_literal_substitution,1,3,0.3333
bloaty,honggfuzz,i2s_structural_assembly_reach_depth,2,2,1.0000
bloaty,honggfuzz,vp_gradient_value_distance_closure,1,2,0.5000
bloaty,libfuzzer,i2s_numeric_tag_substitution,7,8,0.8750
bloaty,libfuzzer,i2s_string_literal_substitution,2,3,0.6667
bloaty,libfuzzer,i2s_structural_assembly_reach_depth,2,2,1.0000
bloaty,libfuzzer,vp_gradient_value_distance_closure,1,2,0.5000
bloaty,libafl,i2s_numeric_tag_substitution,6,8,0.7500
bloaty,libafl,i2s_string_literal_substitution,2,3,0.6667
bloaty,libafl,i2s_structural_assembly_reach_depth,2,2,1.0000
bloaty,libafl,vp_gradient_value_distance_closure,1,2,0.5000
curl,aflplusplus,i2s_anti_decoy_overfit,0,1,0.0000
curl,aflplusplus,i2s_numeric_tag_substitution,2,5,0.4000
curl,aflplusplus,i2s_operand_value_precision,4,5,0.8000
curl,aflplusplus,i2s_string_literal_substitution,22,32,0.6875
curl,honggfuzz,i2s_anti_decoy_overfit,0,1,0.0000
curl,honggfuzz,i2s_numeric_tag_substitution,5,5,1.0000
curl,honggfuzz,i2s_operand_value_precision,5,5,1.0000
curl,honggfuzz,i2s_string_literal_substitution,29,32,0.9062
curl,libfuzzer,i2s_anti_decoy_overfit,0,1,0.0000
curl,libfuzzer,i2s_numeric_tag_substitution,5,5,1.0000
curl,libfuzzer,i2s_operand_value_precision,5,5,1.0000
curl,libfuzzer,i2s_string_literal_substitution,21,32,0.6562
curl,libafl,i2s_anti_decoy_overfit,0,1,0.0000
curl,libafl,i2s_numeric_tag_substitution,1,5,0.2000
curl,libafl,i2s_operand_value_precision,4,5,0.8000
curl,libafl,i2s_string_literal_substitution,25,32,0.7812
harfbuzz,aflplusplus,ctx_iteration_path_depth,0,5,0.0000
harfbuzz,aflplusplus,grimoire_structural_token_assembly,1,2,0.5000
harfbuzz,aflplusplus,i2s_anti_decoy_overfit,1,13,0.0769
harfbuzz,aflplusplus,i2s_anti_structural_byte_corruption,7,7,1.0000
harfbuzz,aflplusplus,i2s_anti_target_depletion,15,21,0.7143
harfbuzz,aflplusplus,i2s_numeric_tag_substitution,5,5,1.0000
harfbuzz,aflplusplus,i2s_operand_value_precision,1,1,1.0000
harfbuzz,aflplusplus,i2s_string_literal_substitution,61,67,0.9104
harfbuzz,aflplusplus,i2s_structural_assembly_reach_depth,1,1,1.0000
harfbuzz,aflplusplus,joint_assembly_depth,6,7,0.8571
harfbuzz,aflplusplus,vp_admits_structurally_richer_corpus,1,1,1.0000
harfbuzz,aflplusplus,vp_gradient_drives_assembly_depth,1,5,0.2000
harfbuzz,aflplusplus,vp_gradient_value_distance_closure,6,12,0.5000
harfbuzz,aflplusplus,vp_operand_byte_enrichment,0,1,0.0000
harfbuzz,aflplusplus,vpc_anti_depth_diversion,1,2,0.5000
harfbuzz,honggfuzz,ctx_iteration_path_depth,2,5,0.4000
harfbuzz,honggfuzz,grimoire_structural_token_assembly,1,2,0.5000
harfbuzz,honggfuzz,i2s_anti_decoy_overfit,2,13,0.1538
harfbuzz,honggfuzz,i2s_anti_structural_byte_corruption,6,7,0.8571
harfbuzz,honggfuzz,i2s_anti_target_depletion,17,21,0.8095
harfbuzz,honggfuzz,i2s_numeric_tag_substitution,1,5,0.2000
harfbuzz,honggfuzz,i2s_operand_value_precision,0,1,0.0000
harfbuzz,honggfuzz,i2s_string_literal_substitution,50,67,0.7463
harfbuzz,honggfuzz,i2s_structural_assembly_reach_depth,1,1,1.0000
harfbuzz,honggfuzz,joint_assembly_depth,5,7,0.7143
harfbuzz,honggfuzz,vp_admits_structurally_richer_corpus,1,1,1.0000
harfbuzz,honggfuzz,vp_gradient_drives_assembly_depth,5,5,1.0000
harfbuzz,honggfuzz,vp_gradient_value_distance_closure,6,12,0.5000
harfbuzz,honggfuzz,vp_operand_byte_enrichment,1,1,1.0000
harfbuzz,honggfuzz,vpc_anti_depth_diversion,0,2,0.0000
harfbuzz,libfuzzer,ctx_iteration_path_depth,0,5,0.0000
harfbuzz,libfuzzer,grimoire_structural_token_assembly,1,2,0.5000
harfbuzz,libfuzzer,i2s_anti_decoy_overfit,2,13,0.1538
harfbuzz,libfuzzer,i2s_anti_structural_byte_corruption,7,7,1.0000
harfbuzz,libfuzzer,i2s_anti_target_depletion,17,21,0.8095
harfbuzz,libfuzzer,i2s_numeric_tag_substitution,2,5,0.4000
harfbuzz,libfuzzer,i2s_operand_value_precision,0,1,0.0000
harfbuzz,libfuzzer,i2s_string_literal_substitution,32,67,0.4776
harfbuzz,libfuzzer,i2s_structural_assembly_reach_depth,1,1,1.0000
harfbuzz,libfuzzer,joint_assembly_depth,2,7,0.2857
harfbuzz,libfuzzer,vp_admits_structurally_richer_corpus,1,1,1.0000
harfbuzz,libfuzzer,vp_gradient_drives_assembly_depth,4,5,0.8000
harfbuzz,libfuzzer,vp_gradient_value_distance_closure,8,12,0.6667
harfbuzz,libfuzzer,vp_operand_byte_enrichment,1,1,1.0000
harfbuzz,libfuzzer,vpc_anti_depth_diversion,0,2,0.0000
harfbuzz,libafl,ctx_iteration_path_depth,0,5,0.0000
harfbuzz,libafl,grimoire_structural_token_assembly,0,2,0.0000
harfbuzz,libafl,i2s_anti_decoy_overfit,0,13,0.0000
harfbuzz,libafl,i2s_anti_structural_byte_corruption,0,7,0.0000
harfbuzz,libafl,i2s_anti_target_depletion,0,21,0.0000
harfbuzz,libafl,i2s_numeric_tag_substitution,1,5,0.2000
harfbuzz,libafl,i2s_operand_value_precision,1,1,1.0000
harfbuzz,libafl,i2s_string_literal_substitution,27,67,0.4030
harfbuzz,libafl,i2s_structural_assembly_reach_depth,1,1,1.0000
harfbuzz,libafl,joint_assembly_depth,0,7,0.0000
harfbuzz,libafl,vp_admits_structurally_richer_corpus,0,1,0.0000
harfbuzz,libafl,vp_gradient_drives_assembly_depth,0,5,0.0000
harfbuzz,libafl,vp_gradient_value_distance_closure,2,12,0.1667
harfbuzz,libafl,vp_operand_byte_enrichment,0,1,0.0000
harfbuzz,libafl,vpc_anti_depth_diversion,0,2,0.0000
lcms,aflplusplus,ctx_corpus_inflation,1,1,1.0000
lcms,aflplusplus,i2s_numeric_tag_substitution,1,9,0.1111
lcms,aflplusplus,i2s_string_literal_substitution,19,57,0.3333
lcms,aflplusplus,i2s_structural_assembly_reach_depth,1,1,1.0000
lcms,aflplusplus,vp_gradient_value_distance_closure,7,9,0.7778
lcms,aflplusplus,vp_operand_byte_enrichment,1,1,1.0000
lcms,honggfuzz,ctx_corpus_inflation,0,1,0.0000
lcms,honggfuzz,i2s_numeric_tag_substitution,0,9,0.0000
lcms,honggfuzz,i2s_string_literal_substitution,19,57,0.3333
lcms,honggfuzz,i2s_structural_assembly_reach_depth,0,1,0.0000
lcms,honggfuzz,vp_gradient_value_distance_closure,4,9,0.4444
lcms,honggfuzz,vp_operand_byte_enrichment,1,1,1.0000
lcms,libfuzzer,ctx_corpus_inflation,1,1,1.0000
lcms,libfuzzer,i2s_numeric_tag_substitution,9,9,1.0000
lcms,libfuzzer,i2s_string_literal_substitution,40,57,0.7018
lcms,libfuzzer,i2s_structural_assembly_reach_depth,1,1,1.0000
lcms,libfuzzer,vp_gradient_value_distance_closure,9,9,1.0000
lcms,libfuzzer,vp_operand_byte_enrichment,1,1,1.0000
lcms,libafl,ctx_corpus_inflation,0,1,0.0000
lcms,libafl,i2s_numeric_tag_substitution,3,9,0.3333
lcms,libafl,i2s_string_literal_substitution,25,57,0.4386
lcms,libafl,i2s_structural_assembly_reach_depth,1,1,1.0000
lcms,libafl,vp_gradient_value_distance_closure,0,9,0.0000
lcms,libafl,vp_operand_byte_enrichment,0,1,0.0000
libpng,aflplusplus,ctx_corpus_inflation,0,1,0.0000
libpng,aflplusplus,ctx_iteration_path_depth,2,2,1.0000
libpng,aflplusplus,i2s_anti_target_depletion,2,2,1.0000
libpng,aflplusplus,i2s_numeric_tag_substitution,4,4,1.0000
libpng,aflplusplus,i2s_string_literal_substitution,19,19,1.0000
libpng,aflplusplus,i2s_structural_assembly_reach_depth,2,2,1.0000
libpng,aflplusplus,vp_operand_byte_enrichment,1,2,0.5000
libpng,honggfuzz,ctx_corpus_inflation,0,1,0.0000
libpng,honggfuzz,ctx_iteration_path_depth,1,2,0.5000
libpng,honggfuzz,i2s_anti_target_depletion,1,2,0.5000
libpng,honggfuzz,i2s_numeric_tag_substitution,4,4,1.0000
libpng,honggfuzz,i2s_string_literal_substitution,18,19,0.9474
libpng,honggfuzz,i2s_structural_assembly_reach_depth,2,2,1.0000
libpng,honggfuzz,vp_operand_byte_enrichment,1,2,0.5000
libpng,libfuzzer,ctx_corpus_inflation,0,1,0.0000
libpng,libfuzzer,ctx_iteration_path_depth,2,2,1.0000
libpng,libfuzzer,i2s_anti_target_depletion,2,2,1.0000
libpng,libfuzzer,i2s_numeric_tag_substitution,4,4,1.0000
libpng,libfuzzer,i2s_string_literal_substitution,19,19,1.0000
libpng,libfuzzer,i2s_structural_assembly_reach_depth,2,2,1.0000
libpng,libfuzzer,vp_operand_byte_enrichment,2,2,1.0000
libpng,libafl,ctx_corpus_inflation,0,1,0.0000
libpng,libafl,ctx_iteration_path_depth,1,2,0.5000
libpng,libafl,i2s_anti_target_depletion,1,2,0.5000
libpng,libafl,i2s_numeric_tag_substitution,4,4,1.0000
libpng,libafl,i2s_string_literal_substitution,18,19,0.9474
libpng,libafl,i2s_structural_assembly_reach_depth,2,2,1.0000
libpng,libafl,vp_operand_byte_enrichment,0,2,0.0000
libxml2,aflplusplus,ctx_iteration_path_depth,2,3,0.6667
libxml2,aflplusplus,grimoire_structural_size_depth,1,1,1.0000
libxml2,aflplusplus,grimoire_structural_token_assembly,3,3,1.0000
libxml2,aflplusplus,i2s_numeric_tag_substitution,0,1,0.0000
libxml2,aflplusplus,i2s_relational_collision_gate,2,3,0.6667
libxml2,aflplusplus,i2s_structural_assembly_reach_depth,2,2,1.0000
libxml2,aflplusplus,ngram_sequential_depth_reach,2,2,1.0000
libxml2,aflplusplus,vp_gradient_drives_assembly_depth,9,9,1.0000
libxml2,aflplusplus,vp_gradient_value_distance_closure,5,5,1.0000
libxml2,aflplusplus,vpc_anti_depth_diversion,1,1,1.0000
libxml2,honggfuzz,ctx_iteration_path_depth,2,3,0.6667
libxml2,honggfuzz,grimoire_structural_size_depth,1,1,1.0000
libxml2,honggfuzz,grimoire_structural_token_assembly,3,3,1.0000
libxml2,honggfuzz,i2s_numeric_tag_substitution,0,1,0.0000
libxml2,honggfuzz,i2s_relational_collision_gate,2,3,0.6667
libxml2,honggfuzz,i2s_structural_assembly_reach_depth,2,2,1.0000
libxml2,honggfuzz,ngram_sequential_depth_reach,2,2,1.0000
libxml2,honggfuzz,vp_gradient_drives_assembly_depth,9,9,1.0000
libxml2,honggfuzz,vp_gradient_value_distance_closure,5,5,1.0000
libxml2,honggfuzz,vpc_anti_depth_diversion,1,1,1.0000
libxml2,libfuzzer,ctx_iteration_path_depth,2,3,0.6667
libxml2,libfuzzer,grimoire_structural_size_depth,1,1,1.0000
libxml2,libfuzzer,grimoire_structural_token_assembly,3,3,1.0000
libxml2,libfuzzer,i2s_numeric_tag_substitution,1,1,1.0000
